,state_g_toilet,Primary_Only2013-14_g_toilet,Primary_with_U_Primary2013-14_g_toilet,Primary_with_U_Primary_Sec_HrSec2013-14_g_toilet,U_Primary_Only2013-14_g_toilet,U_Primary_With_Sec_HrSec2013-14_g_toilet,Primary_with_U_Primary_Sec2013-14_g_toilet,U_Primary_With_Sec2013-14_g_toilet,Sec_Only2013-14_g_toilet,Sec_with_HrSec.2013-14_g_toilet,HrSec_Only2013-14_g_toilet,All Schools2013-14_g_toilet,Primary_Only2014-15_g_toilet,Primary_with_U_Primary2014-15_g_toilet,Primary_with_U_Primary_Sec_HrSec2014-15_g_toilet,U_Primary_Only2014-15_g_toilet,U_Primary_With_Sec_HrSec2014-15_g_toilet,Primary_with_U_Primary_Sec2014-15_g_toilet,U_Primary_With_Sec2014-15_g_toilet,Sec_Only2014-15_g_toilet,Sec_with_HrSec.2014-15_g_toilet,HrSec_Only2014-15_g_toilet,All Schools2014-15_g_toilet,Primary_Only2015-16_g_toilet,Primary_with_U_Primary2015-16_g_toilet,Primary_with_U_Primary_Sec_HrSec2015-16_g_toilet,U_Primary_Only2015-16_g_toilet,U_Primary_With_Sec_HrSec2015-16_g_toilet,Primary_with_U_Primary_Sec2015-16_g_toilet,U_Primary_With_Sec2015-16_g_toilet,Sec_Only2015-16_g_toilet,Sec_with_HrSec.2015-16_g_toilet,HrSec_Only2015-16_g_toilet,All Schools2015-16_g_toilet
0,India,88.68,95.98,98.81,91.39,98.25,97.33,94.4,99.06,98.36,76.14,91.23,91.21,96.92,99.48,91.39,99.23,98.19,96.61,90.26,94.05,90.94,93.08,96.95,99.03,99.72,96.32,99.6,99.31,98.82,95.18,98.31,96.22,97.52
1,A & N Islands,89.74,97.37,100.0,88.3475,100.0,100.0,87.97,96.46833333333332,100.0,90.89,93.44,100.0,100.0,100.0,100.0,100.0,100.0,89.6125,87.19999999999997,100.0,92.14,100.0,100.0,100.0,100.0,91.955,100.0,100.0,95.4925,93.52333333333333,100.0,94.3075,100.0
2,Andhra Pradesh,76.16,89.46,97.2,81.82,68.68,90.68,92.09,85.19,71.43,75.47,81.31,97.79,98.81,100.0,100.0,99.44,99.57,99.03,96.77,100.0,94.73,98.07,99.6,99.89,100.0,100.0,100.0,99.92,99.92,100.0,100.0,100.0,99.72
3,Arunachal Pradesh,67.77,88.88,100.0,100.0,98.0,97.52,100.0,96.46833333333332,95.72111111111113,90.89,76.9,94.92,99.74,100.0,100.0,100.0,100.0,100.0,81.85600000000002,100.0,88.68799999999999,96.89,94.41,99.59,100.0,100.0,100.0,99.55,97.44,87.458,100.0,100.0,96.56
4,Assam,77.02,82.2,91.8,64.47,85.81,87.1,79.33,96.46833333333332,95.72111111111113,90.89,75.28,77.97,82.94,93.94,62.79,88.34,89.88,78.06,59.73,71.79,72.31,74.86,86.39,85.78,95.14,72.66,94.79,91.58,90.06,78.04,82.97,82.95,83.94
5,Bihar,63.43,90.6,82.28,92.59,86.67,89.4,77.33,96.46833333333332,100.0,90.89,75.41,63.46,91.16,90.77,91.47,93.98,92.06,79.27,83.4,80.29,88.18,76.3,84.35,96.44,95.4,97.53,98.84,97.09,90.91,91.9,94.59,89.07,90.05
6,Chandigarh,100.0,100.0,100.0,95.20857142857143,100.0,100.0,99.00571428571428,96.36,97.26,90.89,100.0,100.0,100.0,100.0,95.18285714285715,100.0,100.0,99.00571428571428,93.77,94.44571428571429,98.28166666666664,100.0,100.0,100.0,100.0,99.22857142857143,100.0,100.0,99.71,96.956,97.05714285714285,98.71833333333332,100.0
7,Chhattisgarh,93.1,96.9,98.71,95.39,98.17,99.32,96.87,98.41,100.0,100.0,94.1,91.02,97.87,99.51,94.08,98.8,99.43,95.78,68.09,88.86,52.38,92.0,99.16,99.61,100.0,99.67,100.0,99.81,100.0,86.61,98.68,100.0,99.16
8,D & N Haveli,91.71,98.35,100.0,100.0,100.0,90.0,99.352,96.45848484848484,100.0,100.0,94.36,98.3,100.0,100.0,100.0,100.0,100.0,98.615,100.0,100.0,100.0,99.13,100.0,100.0,100.0,100.0,100.0,100.0,99.765,100.0,100.0,100.0,100.0
9,Daman & Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.45848484848484,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.615,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.765,100.0,100.0,100.0,100.0
10,Goa,97.75,96.55,100.0,100.0,100.0,100.0,100.0,96.45848484848484,100.0,100.0,98.31,99.09,100.0,100.0,100.0,100.0,100.0,100.0,98.89,99.62333333333332,100.0,99.42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.56333333333332,100.0,100.0
11,Gujarat,99.5,99.88,99.93,99.83,100.0,100.0,100.0,96.45848484848484,100.0,100.0,99.78,99.66,99.91,100.0,99.86,100.0,99.85,95.83,99.27,99.92,99.45,99.79,99.95,99.97,100.0,100.0,100.0,100.0,100.0,99.85,99.95,99.72,99.95
12,Haryana,97.58,99.95,99.95,94.54,98.92,99.95,99.21,96.36,97.26,90.89,98.1,97.4,99.9,100.0,94.43,99.09,99.95,99.63,93.77,76.09,100.0,98.05,99.37,100.0,100.0,99.5,99.72,100.0,99.93,96.956,84.78,100.0,99.6
13,Himachal Pradesh,97.01,99.72,100.0,94.88,99.48,99.83,99.05,96.36,97.26,90.89,97.32,97.64,99.74,100.0,93.96,99.48,99.85,99.29,100.0,100.0,100.0,97.67,99.85,100.0,100.0,99.3,100.0,100.0,100.0,100.0,100.0,100.0,99.82
14,Jammu & Kashmir,65.9,85.65,97.98,83.33,98.0,95.08,98.4,96.36,97.26,90.89,76.69,66.22,87.13,99.8,83.33,100.0,96.27,97.66,96.43,96.93,98.28166666666664,77.93,91.66,97.97,99.79,98.43,100.0,99.33,99.74,93.94,100.0,98.71833333333332,95.0
15,Jharkhand,85.27,91.01,97.74,92.5,89.14,93.68,88.5,96.46833333333332,100.0,90.89,87.68,84.41,91.3,95.24,91.95,88.37,94.07,90.89,88.24,88.1,88.24,87.32,96.16,97.81,98.37,80.0,94.24,98.78,96.22,94.79,97.21,95.33,96.75
16,Karnataka,99.95,99.96,99.64,100.0,100.0,99.96,99.85,99.79,94.44,84.62,99.88,99.83,99.97,99.78,100.0,100.0,99.96,100.0,99.96,100.0,90.38,99.6,99.54,99.97,100.0,100.0,100.0,100.0,100.0,99.95,100.0,93.99,99.59
17,Kerala,95.49,98.69,100.0,99.09,100.0,99.7,100.0,94.99333333333334,88.62333333333332,90.02250000000002,97.39,96.17,98.71,99.86,99.54,99.79,99.91,100.0,100.0,100.0,100.0,97.79,98.54,99.76,99.86,100.0,99.38,99.83,100.0,98.68,100.0,98.46,99.15
18,Lakshadweep,100.0,100.0,100.0,100.0,100.0,98.23,99.352,96.45848484848484,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.86833333333334,98.615,98.89,100.0,99.78833333333334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.765,99.945,100.0,99.83,100.0
19,Madhya Pradesh,92.84,98.72,99.21,89.36,100.0,99.59,98.25,98.41,100.0,100.0,93.02,88.54,98.89,99.83,87.02,99.01,99.92,100.0,76.63,90.21,90.0,89.59,96.2,99.32,99.95,96.01,100.0,100.0,100.0,93.53,97.34,100.0,96.65
20,Maharashtra,97.86,99.19,99.83,95.89,99.31,99.55,99.12,96.45848484848484,100.0,100.0,98.46,98.9,99.77,99.86,98.04,99.83,99.83,99.56,99.35,99.7,99.28,99.29,99.06,99.71,100.0,100.0,99.89,99.81,99.82,99.82,99.71,99.43,99.41
21,Manipur,97.26,99.66,100.0,98.41,100.0,99.56,98.68,96.46833333333332,95.72111111111113,90.89,98.17,92.69,99.88,100.0,100.0,100.0,99.71,98.68,97.56,100.0,100.0,95.51,98.27,99.54,100.0,96.83,100.0,100.0,98.04,92.5,100.0,100.0,98.74
22,Meghalaya,50.84,61.65,100.0,46.72,94.59,86.9,79.33,96.46833333333332,95.72111111111113,90.89,50.95,62.63,71.52,100.0,65.16,93.75,88.17,84.25,60.65,82.35,71.13,63.92,84.12,73.63,96.43,89.79,96.77,91.43,88.67,67.24,85.71,81.82,84.29
23,Mizoram,99.47,99.75,100.0,99.81,94.87285714285713,94.42285714285715,90.83285714285714,96.46833333333332,95.72111111111113,90.89,99.62,99.94,99.24,99.13428571428572,99.91,97.44142857142856,96.67142857142859,94.36,99.67,90.82799999999999,100.0,99.82,99.04,99.23,98.79571428571428,99.47,98.79428571428569,97.50857142857141,96.31571428571431,99.51,93.736,99.28,99.27
24,NCT of Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.36,97.26,90.89,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.77,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.95599999999996,100.0,100.0,100.0
25,Nagaland,97.07,98.66,100.0,93.18,100.0,100.0,98.49,96.46833333333332,95.72111111111113,90.89,97.08,99.02,100.0,100.0,98.7,100.0,99.68,99.53,91.67,100.0,100.0,99.37,99.84,100.0,100.0,97.44,100.0,100.0,100.0,100.0,100.0,100.0,99.89
26,Odisha,83.4,90.3,94.12,84.8,93.33,92.0,87.41,96.46833333333332,100.0,90.89,86.0,86.46,92.04,98.2,84.05,96.15,94.72,88.96,89.96,92.0975,92.14,88.34,97.44,98.58,96.77,91.27,100.0,97.87,94.84,93.88,97.95,92.83,97.06
27,Puducherry,100.0,100.0,100.0,94.415,100.0,100.0,100.0,94.99333333333334,100.0,100.0,100.0,100.0,100.0,100.0,99.90799999999999,100.0,100.0,100.0,99.346,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6575,100.0,100.0,100.0
28,Punjab,96.51,98.88,99.83,98.23,99.68,99.43,99.35,96.36,97.26,90.89,97.81,98.76,99.23,99.92,98.82,99.26,99.74,99.51,100.0,100.0,98.02,99.08,99.82,99.54,99.96,99.86,99.7,99.96,100.0,100.0,100.0,100.0,99.83
29,Rajasthan,96.07,99.59,99.84,99.15,99.13,99.83,97.64,96.45848484848484,100.0,100.0,97.87,95.58,99.67,99.64,99.06,98.49,99.53,99.07,95.83,98.12,100.0,98.03,99.4,99.88,99.87,100.0,98.88,99.89,99.24,100.0,97.72,99.83,99.67
30,Sikkim,98.78,99.7,100.0,100.0,100.0,100.0,100.0,96.46833333333332,95.72111111111113,90.89,99.25,98.27,99.7,100.0,100.0,100.0,99.26,100.0,81.85600000000002,90.828,88.68799999999997,98.91,99.84,99.71,100.0,100.0,100.0,100.0,100.0,87.45800000000001,93.736,94.00833333333333,99.83
31,Tamil Nadu,95.53,99.56,99.95,96.75,98.41,97.585,97.985,100.0,88.62333333333332,100.0,96.91,99.57,99.94,99.98,100.0,99.88,98.462,99.28200000000001,100.0,100.0,100.0,99.71,99.84,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9
32,Telangana,89.82,95.16,97.96,100.0,95.94,92.87,97.38,100.0,100.0,81.62,92.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6575,100.0,100.0,100.0,76.16,89.46,97.2,81.82,68.68,90.68,92.09,85.19,71.43,75.47,81.31
33,Tripura,87.79,95.04,76.18,50.0,85.71,89.88,80.0,96.46833333333332,95.72111111111113,90.89,89.13,99.77,100.0,100.0,100.0,100.0,100.0,100.0,81.85600000000002,90.828,88.68799999999997,99.88,99.73,100.0,100.0,100.0,100.0,100.0,100.0,87.458,93.736,94.00833333333333,99.86
34,Uttar Pradesh,98.65,99.46,96.3,98.77,98.53,98.15,99.35,96.36,97.26,90.89,98.66,98.59,99.73,99.68,98.6,99.7,99.66,99.66,98.69,99.71,100.0,98.72,99.8,99.93,99.56,99.83,99.87,99.89,99.89,98.96,99.88,92.31,99.8
35,Uttarakhand,95.39,98.01,99.77,96.71,97.76,100.0,97.68,96.36,97.26,90.89,96.06,95.43,98.91,99.78,97.14,98.03,100.0,97.29,73.73,88.39,91.67,95.97,96.71,98.99,100.0,97.68,98.02,100.0,98.41,91.88,94.74,100.0,97.18
36,West Bengal,80.02,86.4,96.24,83.5,99.25,94.05,98.64,96.46833333333332,100.0,90.89,82.08,91.69,89.91,96.13,91.98,99.74,95.82,99.33,87.19999999999997,100.0,100.0,92.42,98.1,94.78,98.35,99.02,99.97,96.5,100.0,93.52333333333334,100.0,100.0,98.29
